price,location,detail
310 000AZN,Memar Əcəmi m.,4 otaqlı120 m²10/17 mərtəbə
205 000AZN,Qara Qarayev m.,3 otaqlı78 m²12/17 mərtəbə
430 000AZN,Şah İsmayıl Xətai m.,4 otaqlı131 m²5/13 mərtəbə
335 000AZN,Nəriman Nərimanov m.,3 otaqlı118 m²15/16 mərtəbə
135 000AZN,20 Yanvar m.,2 otaqlı48 m²3/20 mərtəbə
175 000AZN,Əhmədli m.,2 otaqlı70 m²4/16 mərtəbə
178 000AZN,20 Yanvar m.,5 otaqlı110 m²6/9 mərtəbə
145 000AZN,20 Yanvar m.,2 otaqlı50 m²8/20 mərtəbə
225 000AZN,Şah İsmayıl Xətai m.,2 otaqlı95 m²5/19 mərtəbə
250 000AZN,Əhmədli m.,5 otaqlı120 m²6/9 mərtəbə
267 000AZN,Nəsimi r.,3 otaqlı85 m²2/17 mərtəbə
113 000AZN,Köhnə Günəşli q.,2 otaqlı65 m²4/9 mərtəbə
262 000AZN,Azadlıq Prospekti m.,4 otaqlı169 m²6/14 mərtəbə
220 000AZN,Nəsimi r.,2 otaqlı72 m²12/17 mərtəbə
425 000AZN,Şah İsmayıl Xətai m.,3 otaqlı135 m²4/16 mərtəbə
156 000AZN,28 May m.,2 otaqlı42 m²4/9 mərtəbə
177 500AZN,7-ci mikrorayon q.,2 otaqlı66 m²8/12 mərtəbə
228 000AZN,Nəsimi m.,5 otaqlı128 m²2/9 mərtəbə
230 000AZN,Şah İsmayıl Xətai m.,3 otaqlı102 m²15/22 mərtəbə
2 600 000AZN,Səbail r.,3 otaqlı173 m²22/33 mərtəbə
270 000AZN,Ağ şəhər q.,2 otaqlı56 m²2/7 mərtəbə
264 000AZN,Badamdar q.,4 otaqlı130 m²16/18 mərtəbə
203 000AZN,20 Yanvar m.,3 otaqlı90 m²16/20 mərtəbə
240 000AZN,28 May m.,3 otaqlı162 m²3/16 mərtəbə
768 568AZN,Ağ şəhər q.,3 otaqlı130.6 m²3/7 mərtəbə
836 400AZN,Nardaran q.,3 otaqlı123 m²5/6 mərtəbə
177 000AZN,Nəriman Nərimanov m.,2 otaqlı50 m²14/14 mərtəbə
325 000AZN,20 Yanvar m.,3 otaqlı135 m²10/16 mərtəbə
97 000AZN,Masazır q.,3 otaqlı83 m²6/8 mərtəbə
52 000AZN,Masazır q.,3 otaqlı58.7 m²9/11 mərtəbə
149 500AZN,Azadlıq Prospekti m.,2 otaqlı46 m²5/9 mərtəbə
139 000AZN,Qaraçuxur q.,2 otaqlı70 m²4/12 mərtəbə
459 999AZN,Şah İsmayıl Xətai m.,5 otaqlı174 m²2/7 mərtəbə
189 000AZN,28 May m.,2 otaqlı62 m²13/17 mərtəbə
132 000AZN,İnşaatçılar m.,1 otaqlı40 m²2/16 mərtəbə
249 000AZN,28 May m.,2 otaqlı75 m²14/16 mərtəbə
254 000AZN,Şah İsmayıl Xətai m.,3 otaqlı110 m²11/14 mərtəbə
96 000AZN,Hövsan q.,3 otaqlı70 m²4/7 mərtəbə
210 000AZN,Neftçilər m.,3 otaqlı122 m²10/16 mərtəbə
81 000AZN,Hövsan q.,2 otaqlı51 m²1/7 mərtəbə
455 000AZN,Elmlər Akademiyası m.,4 otaqlı165 m²3/16 mərtəbə
188 000AZN,İnşaatçılar m.,3 otaqlı71 m²17/17 mərtəbə
359 900AZN,Nizami m.,3 otaqlı123 m²2/5 mərtəbə
288 000AZN,Gənclik m.,3 otaqlı105 m²11/16 mərtəbə
270 000AZN,8 Noyabr m.,3 otaqlı90 m²5/12 mərtəbə
265 000AZN,Nizami m.,2 otaqlı85 m²4/14 mərtəbə
111 000AZN,9-cu mikrorayon q.,1 otaqlı42 m²3/9 mərtəbə
155 000AZN,Memar Əcəmi m.,3 otaqlı80 m²3/9 mərtəbə
365 000AZN,İnşaatçılar m.,3 otaqlı117 m²15/19 mərtəbə
387 000AZN,Gənclik m.,3 otaqlı130 m²7/17 mərtəbə
395 000AZN,Nərimanov r.,3 otaqlı115 m²12/16 mərtəbə
867 000AZN,Nəsimi r.,5 otaqlı255 m²15/16 mərtəbə
194 000AZN,Əhmədli q.,2 otaqlı82 m²10/19 mərtəbə
516 625AZN,Nərimanov r.,5 otaqlı206.7 m²12/14 mərtəbə
250 000AZN,Həzi Aslanov m.,2 otaqlı88 m²15/20 mərtəbə
210 000AZN,28 May m.,2 otaqlı51 m²6/17 mərtəbə
240 000AZN,Nəriman Nərimanov m.,2 otaqlı55 m²3/6 mərtəbə
196 000AZN,İnşaatçılar m.,3 otaqlı135 m²10/11 mərtəbə
145 000AZN,Xalqlar Dostluğu m.,3 otaqlı66 m²5/9 mərtəbə
680 000AZN,Elmlər Akademiyası m.,4 otaqlı152 m²13/18 mərtəbə
215 000AZN,Nəriman Nərimanov m.,2 otaqlı110 m²8/9 mərtəbə
185 000AZN,Memar Əcəmi m.,3 otaqlı74 m²5/9 mərtəbə
249 850AZN,Nardaran q.,2 otaqlı95 m²4/9 mərtəbə
230 000AZN,Elmlər Akademiyası m.,3 otaqlı78 m²7/12 mərtəbə
210 000AZN,Gənclik m.,3 otaqlı90 m²14/17 mərtəbə
745 000AZN,Şah İsmayıl Xətai m.,3 otaqlı220 m²11/22 mərtəbə
132 000AZN,Yeni Yasamal q.,2 otaqlı50 m²7/12 mərtəbə
390 000AZN,Yasamal r.,3 otaqlı173 m²13/21 mərtəbə
300 000AZN,Neftçilər m.,4 otaqlı140 m²9/12 mərtəbə
168 000AZN,Neftçilər m.,3 otaqlı94 m²12/16 mərtəbə
108 000AZN,Həzi Aslanov m.,2 otaqlı45 m²4/5 mərtəbə
870 000AZN,Sahil m.,4 otaqlı258 m²3/8 mərtəbə
295 000AZN,Nizami m.,2 otaqlı115 m²14/18 mərtəbə
199 000AZN,Dərnəgül m.,3 otaqlı100 m²10/14 mərtəbə
590 000AZN,Ağ şəhər q.,4 otaqlı114 m²6/6 mərtəbə
141 000AZN,Həzi Aslanov q.,3 otaqlı82 m²6/9 mərtəbə
169 000AZN,Xalqlar Dostluğu m.,3 otaqlı79 m²8/17 mərtəbə
420 000AZN,28 May m.,2 otaqlı98 m²5/17 mərtəbə
193 000AZN,İnşaatçılar m.,2 otaqlı100 m²17/17 mərtəbə
335 000AZN,Nəsimi r.,3 otaqlı118.2 m²14/17 mərtəbə
303 600AZN,Nərimanov r.,3 otaqlı126.5 m²5/14 mərtəbə
238 000AZN,Əhmədli m.,3 otaqlı115 m²9/16 mərtəbə
141 000AZN,20 Yanvar m.,2 otaqlı68 m²19/19 mərtəbə
120 000AZN,Elmlər Akademiyası m.,2 otaqlı43 m²10/12 mərtəbə
265 000AZN,Xalqlar Dostluğu m.,3 otaqlı127 m²2/17 mərtəbə
89 000AZN,Masazır q.,2 otaqlı75 m²4/6 mərtəbə
233 000AZN,Əhmədli m.,5 otaqlı120 m²8/9 mərtəbə
120 000AZN,Xalqlar Dostluğu m.,2 otaqlı60 m²2/5 mərtəbə
171 000AZN,Elmlər Akademiyası m.,3 otaqlı75 m²5/5 mərtəbə
145 000AZN,Qara Qarayev m.,2 otaqlı55 m²15/17 mərtəbə
550 000AZN,Elmlər Akademiyası m.,4 otaqlı170 m²15/20 mərtəbə
105 000AZN,Yeni Günəşli q.,2 otaqlı55 m²9/9 mərtəbə
298 000AZN,Xətai r.,2 otaqlı67 m²3/19 mərtəbə
130 000AZN,Xətai r.,3 otaqlı137 m²6/6 mərtəbə
130 000AZN,20 Yanvar m.,2 otaqlı45 m²12/20 mərtəbə
130 000AZN,Nəriman Nərimanov m.,1 otaqlı40 m²14/17 mərtəbə
154 000AZN,Nəsimi m.,3 otaqlı70 m²3/9 mərtəbə
420 000AZN,Gənclik m.,3 otaqlı153 m²10/11 mərtəbə
550 000AZN,Nəriman Nərimanov m.,4 otaqlı180 m²16/18 mərtəbə
190 000AZN,Nizami m.,3 otaqlı166 m²18/18 mərtəbə
103 000AZN,İçəri Şəhər m.,1 otaqlı35 m²5/5 mərtəbə
610 000AZN,İçəri Şəhər m.,4 otaqlı200 m²9/16 mərtəbə
278 000AZN,Səbail r.,3 otaqlı98 m²7/7 mərtəbə
131 000AZN,Yeni Yasamal q.,2 otaqlı101 m²15/16 mərtəbə
168 000AZN,8-ci mikrorayon q.,3 otaqlı70 m²2/9 mərtəbə
490 000AZN,28 May m.,4 otaqlı204 m²3/14 mərtəbə
450 000AZN,Koroğlu m.,3 otaqlı172.2 m²14/17 mərtəbə
189 000AZN,Nəsimi r.,2 otaqlı75 m²6/10 mərtəbə
334 879AZN,Koroğlu m.,2 otaqlı108.2 m²14/16 mərtəbə
205 000AZN,Xalqlar Dostluğu m.,4 otaqlı100 m²5/9 mərtəbə
145 000AZN,İnşaatçılar m.,2 otaqlı55 m²4/5 mərtəbə
495 000AZN,İçəri Şəhər m.,4 otaqlı180 m²3/4 mərtəbə
365 000AZN,Nərimanov r.,4 otaqlı154 m²8/17 mərtəbə
375 000AZN,Nizami m.,3 otaqlı135 m²12/14 mərtəbə
132 000AZN,Nəsimi m.,2 otaqlı70 m²2/17 mərtəbə
270 000AZN,Gənclik m.,3 otaqlı90 m²5/12 mərtəbə
165 000AZN,Yasamal r.,4 otaqlı166 m²20/21 mərtəbə
220 000AZN,İnşaatçılar m.,3 otaqlı100 m²3/9 mərtəbə
1 150 000AZN,İçəri Şəhər m.,4 otaqlı214 m²7/14 mərtəbə
181 000AZN,Neftçilər m.,2 otaqlı70 m²15/16 mərtəbə
163 000AZN,Xalqlar Dostluğu m.,3 otaqlı80 m²5/19 mərtəbə
270 000AZN,Nəriman Nərimanov m.,3 otaqlı135 m²2/19 mərtəbə
360 000AZN,8 Noyabr m.,3 otaqlı148 m²27/27 mərtəbə
114 000AZN,Biləcəri q.,3 otaqlı60 m²2/5 mərtəbə
520 000AZN,Nəsimi r.,4 otaqlı154 m²6/17 mərtəbə
570 000AZN,Elmlər Akademiyası m.,4 otaqlı170 m²5/18 mərtəbə
248 000AZN,Şah İsmayıl Xətai m.,2 otaqlı98 m²15/16 mərtəbə
146 000AZN,Qaraçuxur q.,3 otaqlı105 m²16/18 mərtəbə
167 000AZN,Əhmədli m.,2 otaqlı80 m²13/15 mərtəbə
350 000AZN,28 May m.,3 otaqlı108 m²14/16 mərtəbə
282 000AZN,Neftçilər m.,3 otaqlı145 m²16/19 mərtəbə
150 000AZN,Əhmədli m.,2 otaqlı91 m²16/17 mərtəbə
128 000AZN,Dərnəgül m.,2 otaqlı60 m²1/16 mərtəbə
398 000AZN,Şah İsmayıl Xətai m.,3 otaqlı131 m²13/19 mərtəbə
197 000AZN,Nəriman Nərimanov m.,2 otaqlı60 m²15/16 mərtəbə
624 551AZN,Ağ şəhər q.,3 otaqlı103 m²5/8 mərtəbə
288 000AZN,Nəriman Nərimanov m.,3 otaqlı90 m²14/14 mərtəbə
650 000AZN,28 May m.,3 otaqlı106 m²6/25 mərtəbə
325 000AZN,20 Yanvar m.,3 otaqlı130 m²10/16 mərtəbə
358 000AZN,Nəsimi r.,3 otaqlı126 m²9/17 mərtəbə
94 000AZN,Buzovna q.,3 otaqlı60 m²5/9 mərtəbə
325 000AZN,20 Yanvar m.,3 otaqlı155 m²3/17 mərtəbə
340 000AZN,Nərimanov r.,3 otaqlı125 m²15/16 mərtəbə
136 000AZN,Xətai r.,2 otaqlı75 m²9/17 mərtəbə
455 000AZN,Elmlər Akademiyası m.,3 otaqlı136 m²13/17 mərtəbə
238 000AZN,Nərimanov r.,3 otaqlı103 m²4/18 mərtəbə
232 000AZN,Elmlər Akademiyası m.,3 otaqlı90 m²2/9 mərtəbə
152 000AZN,Əhmədli m.,2 otaqlı52 m²11/17 mərtəbə
420 000AZN,Nərimanov r.,3 otaqlı154 m²10/10 mərtəbə
539 000AZN,Xətai r.,3 otaqlı120 m²2/7 mərtəbə
264 000AZN,Elmlər Akademiyası m.,3 otaqlı90 m²3/8 mərtəbə
122 000AZN,Yasamal r.,2 otaqlı45 m²7/12 mərtəbə
198 000AZN,Neftçilər m.,4 otaqlı98 m²7/10 mərtəbə
319 000AZN,Nizami m.,2 otaqlı80 m²6/17 mərtəbə
142 000AZN,Neftçilər m.,2 otaqlı55 m²14/19 mərtəbə
112 000AZN,Bakıxanov q.,2 otaqlı50 m²1/9 mərtəbə
205 000AZN,Nəriman Nərimanov m.,3 otaqlı87 m²4/10 mərtəbə
130 000AZN,Əhmədli m.,3 otaqlı70 m²3/9 mərtəbə
364 000AZN,Nərimanov r.,4 otaqlı152 m²8/16 mərtəbə
275 000AZN,Şah İsmayıl Xətai m.,3 otaqlı102 m²13/17 mərtəbə
205 000AZN,Xalqlar Dostluğu m.,4 otaqlı95 m²5/9 mərtəbə
455 000AZN,Gənclik m.,3 otaqlı110 m²4/15 mərtəbə
309 900AZN,28 May m.,3 otaqlı100 m²6/12 mərtəbə
56 000AZN,Hövsan q.,1 otaqlı40 m²7/7 mərtəbə
368 000AZN,8-ci mikrorayon q.,3 otaqlı152 m²14/17 mərtəbə
833 195AZN,Elmlər Akademiyası m.,4 otaqlı151.5 m²15/18 mərtəbə
235 000AZN,20 Yanvar m.,3 otaqlı105 m²8/16 mərtəbə
109 000AZN,Neftçilər m.,3 otaqlı118 m²11/11 mərtəbə
193 000AZN,Suraxanı r.,3 otaqlı125 m²6/16 mərtəbə
530 000AZN,Ağ şəhər q.,3 otaqlı125 m²6/7 mərtəbə
432 000AZN,Nəsimi r.,4 otaqlı154 m²10/17 mərtəbə
200 000AZN,İçəri Şəhər m.,2 otaqlı60 m²6/9 mərtəbə
215 000AZN,İnşaatçılar m.,3 otaqlı145 m²19/19 mərtəbə
110 000AZN,Neftçilər m.,2 otaqlı48 m²15/16 mərtəbə
337 000AZN,Nərimanov r.,3 otaqlı135 m²10/18 mərtəbə
280 000AZN,Xətai r.,3 otaqlı128 m²12/19 mərtəbə
287 000AZN,Şah İsmayıl Xətai m.,2 otaqlı75 m²5/5 mərtəbə
265 000AZN,28 May m.,2 otaqlı82 m²14/16 mərtəbə
255 000AZN,Memar Əcəmi m.,3 otaqlı135 m²8/18 mərtəbə
220 000AZN,Nəriman Nərimanov m.,3 otaqlı72 m²14/15 mərtəbə
145 000AZN,Həzi Aslanov m.,1 otaqlı62 m²16/18 mərtəbə
225 000AZN,Memar Əcəmi m.,2 otaqlı94.3 m²16/17 mərtəbə
128 000AZN,Nəsimi m.,2 otaqlı55 m²5/18 mərtəbə
117 000AZN,Neftçilər m.,2 otaqlı60 m²1/5 mərtəbə
389 000AZN,Şah İsmayıl Xətai m.,3 otaqlı145 m²16/21 mərtəbə
230 000AZN,Azadlıq Prospekti m.,3 otaqlı100 m²4/9 mərtəbə
269 000AZN,Gənclik m.,2 otaqlı85 m²8/14 mərtəbə
230 000AZN,Xətai r.,3 otaqlı135 m²8/16 mərtəbə
167 000AZN,28 May m.,2 otaqlı61 m²6/14 mərtəbə
112 000AZN,Yeni Günəşli q.,2 otaqlı60 m²9/9 mərtəbə
450 000AZN,Şah İsmayıl Xətai m.,3 otaqlı160 m²12/18 mərtəbə
162 000AZN,Əhmədli m.,3 otaqlı80 m²3/9 mərtəbə
94 000AZN,Zığ q.,2 otaqlı52 m²9/11 mərtəbə
270 000AZN,Ağ şəhər q.,2 otaqlı54 m²3/6 mərtəbə
353 000AZN,Nəriman Nərimanov m.,3 otaqlı130 m²7/16 mərtəbə
285 000AZN,İnşaatçılar m.,3 otaqlı130 m²6/16 mərtəbə
197 000AZN,Nəriman Nərimanov m.,2 otaqlı60 m²15/16 mərtəbə
250 000AZN,Şah İsmayıl Xətai m.,3 otaqlı120 m²4/4 mərtəbə
267 000AZN,Nəriman Nərimanov m.,3 otaqlı100 m²7/16 mərtəbə
127 000AZN,Nəriman Nərimanov m.,2 otaqlı50 m²3/4 mərtəbə
230 000AZN,Həzi Aslanov m.,3 otaqlı126 m²9/18 mərtəbə
210 000AZN,Həzi Aslanov m.,2 otaqlı90 m²8/19 mərtəbə
592 719AZN,Ağ şəhər q.,2 otaqlı91.9 m²5/7 mərtəbə
255 000AZN,Həzi Aslanov m.,3 otaqlı110 m²10/18 mərtəbə
635 143AZN,Ağ şəhər q.,3 otaqlı102.2 m²4/8 mərtəbə
395 000AZN,28 May m.,3 otaqlı152 m²13/16 mərtəbə
858 753AZN,Ağ şəhər q.,3 otaqlı133.5 m²6/8 mərtəbə
884 088AZN,Ağ şəhər q.,3 otaqlı138.6 m²7/7 mərtəbə
860 000AZN,Ağ şəhər q.,4 otaqlı215 m²5/7 mərtəbə
654 007AZN,Ağ şəhər q.,3 otaqlı103.6 m²4/7 mərtəbə
683 668AZN,Ağ şəhər q.,3 otaqlı108.4 m²5/8 mərtəbə
861 499AZN,Ağ şəhər q.,3 otaqlı140.6 m²3/8 mərtəbə
455 340AZN,Ağ şəhər q.,2 otaqlı74 m²7/7 mərtəbə
768 568AZN,Ağ şəhər q.,3 otaqlı130.6 m²3/7 mərtəbə
801 859AZN,Ağ şəhər q.,3 otaqlı131.8 m²7/7 mərtəbə
154 000AZN,Nizami m.,2 otaqlı50 m²3/3 mərtəbə
320AZN,Hövsan q.,1 otaqlı40 m²5/7 mərtəbə
318 000AZN,Memar Əcəmi m.,3 otaqlı163 m²11/14 mərtəbə
631 168AZN,Ağ şəhər q.,3 otaqlı99.1 m²5/7 mərtəbə
340 000AZN,Xalqlar Dostluğu m.,4 otaqlı240 m²15/18 mərtəbə
267 000AZN,Həzi Aslanov m.,4 otaqlı133 m²8/17 mərtəbə
419 000AZN,Şah İsmayıl Xətai m.,4 otaqlı156 m²5/24 mərtəbə
318 000AZN,Memar Əcəmi m.,3 otaqlı163 m²11/14 mərtəbə
137 000AZN,20 Yanvar m.,2 otaqlı48 m²11/20 mərtəbə
270 000AZN,Nəriman Nərimanov m.,3 otaqlı96 m²16/17 mərtəbə
165 000AZN,Həzi Aslanov m.,3 otaqlı75 m²8/9 mərtəbə
440 000AZN,Nərimanov r.,4 otaqlı172 m²3/16 mərtəbə
120 000AZN,28 May m.,2 otaqlı45 m²2/4 mərtəbə
350 000AZN,İnşaatçılar m.,3 otaqlı132 m²4/15 mərtəbə
182 000AZN,Həzi Aslanov q.,3 otaqlı84 m²7/16 mərtəbə
298 000AZN,Bayıl q.,3 otaqlı110 m²7/9 mərtəbə
219 000AZN,Neftçilər m.,2 otaqlı98 m²12/18 mərtəbə
294 900AZN,Səbail r.,2 otaqlı75 m²4/12 mərtəbə
75 000AZN,Yeni Günəşli q.,1 otaqlı50 m²6/9 mərtəbə
298 000AZN,Elmlər Akademiyası m.,3 otaqlı111 m²17/20 mərtəbə
237 000AZN,Xətai r.,3 otaqlı126 m²12/19 mərtəbə
249 000AZN,8 Noyabr m.,3 otaqlı117 m²10/17 mərtəbə
155 000AZN,Nərimanov r.,2 otaqlı55 m²7/11 mərtəbə
190 000AZN,Nərimanov r.,3 otaqlı80 m²4/5 mərtəbə
175 000AZN,Elmlər Akademiyası m.,2 otaqlı70 m²7/14 mərtəbə
249 999AZN,Neftçilər m.,2 otaqlı105 m²6/17 mərtəbə
270 000AZN,Elmlər Akademiyası m.,3 otaqlı120 m²4/5 mərtəbə
414 000AZN,Gənclik m.,4 otaqlı235 m²3/17 mərtəbə
182 750AZN,9-cu mikrorayon q.,2 otaqlı85 m²5/14 mərtəbə
170 000AZN,Həzi Aslanov m.,2 otaqlı92 m²4/15 mərtəbə
285 000AZN,Nəriman Nərimanov m.,3 otaqlı110 m²13/16 mərtəbə
289 000AZN,Nərimanov r.,3 otaqlı80 m²9/17 mərtəbə
276 120AZN,28 May m.,2 otaqlı70.8 m²2/16 mərtəbə
293 000AZN,Həzi Aslanov m.,4 otaqlı127 m²16/17 mərtəbə
358 000AZN,Nəsimi r.,3 otaqlı130 m²9/16 mərtəbə
87 000AZN,Həzi Aslanov m.,1 otaqlı50 m²10/16 mərtəbə
133 000AZN,Neftçilər m.,3 otaqlı85 m²1/5 mərtəbə
270 000AZN,Şah İsmayıl Xətai m.,3 otaqlı110 m²9/16 mərtəbə
135 000AZN,Neftçilər m.,2 otaqlı50 m²5/9 mərtəbə
99 000AZN,Neftçilər m.,2 otaqlı60 m²5/5 mərtəbə
125 000AZN,Həzi Aslanov m.,2 otaqlı55 m²3/5 mərtəbə
390 000AZN,Şah İsmayıl Xətai m.,3 otaqlı127 m²17/18 mərtəbə
134 000AZN,Biləcəri q.,3 otaqlı90 m²2/9 mərtəbə
520 000AZN,Nəsimi r.,3 otaqlı154 m²9/16 mərtəbə
270 000AZN,Nəsimi r.,3 otaqlı85 m²5/12 mərtəbə
319 000AZN,Nizami m.,2 otaqlı78 m²6/17 mərtəbə
120 000AZN,Gənclik m.,2 otaqlı31 m²4/5 mərtəbə
180 000AZN,Zığ q.,3 otaqlı92 m²5/11 mərtəbə
122 500AZN,Nəriman Nərimanov m.,2 otaqlı31 m²3/4 mərtəbə
1 400 000AZN,28 May m.,4 otaqlı233 m²6/19 mərtəbə
225 000AZN,İnşaatçılar m.,2 otaqlı104 m²8/19 mərtəbə
185 000AZN,Nəriman Nərimanov m.,3 otaqlı75 m²3/4 mərtəbə
135 000AZN,Xalqlar Dostluğu m.,2 otaqlı65 m²4/9 mərtəbə
122 000AZN,8-ci kilometr q.,2 otaqlı55 m²3/5 mərtəbə
50 000AZN,Masazır q.,1 otaqlı34 m²2/6 mərtəbə
520 000AZN,Elmlər Akademiyası m.,3 otaqlı154 m²11/20 mərtəbə
80 000AZN,Yeni Günəşli q.,2 otaqlı31.5 m²1/9 mərtəbə
720 000AZN,Şah İsmayıl Xətai m.,3 otaqlı100 m²3/7 mərtəbə
387 000AZN,Nizami m.,3 otaqlı133 m²14/16 mərtəbə
114 000AZN,Biləcəri q.,3 otaqlı60 m²2/5 mərtəbə
438 000AZN,8 Noyabr m.,4 otaqlı170 m²3/21 mərtəbə
595 000AZN,Ağ şəhər q.,4 otaqlı157 m²13/20 mərtəbə
319 940AZN,Nəsimi r.,2 otaqlı94.1 m²16/16 mərtəbə
220 000AZN,8 Noyabr m.,2 otaqlı100 m²11/18 mərtəbə
248 000AZN,Memar Əcəmi m.,4 otaqlı122.7 m²9/11 mərtəbə
145 000AZN,Xalqlar Dostluğu m.,3 otaqlı75 m²5/9 mərtəbə
210 000AZN,Yeni Yasamal q.,3 otaqlı112 m²6/17 mərtəbə
135 000AZN,Günəşli q.,2 otaqlı60 m²12/16 mərtəbə
26 000AZN,Masazır q.,1 otaqlı35 m²1/2 mərtəbə
120 000AZN,Əhmədli m.,2 otaqlı82 m²17/17 mərtəbə
285 000AZN,İçəri Şəhər m.,2 otaqlı82 m²11/17 mərtəbə
185 000AZN,Yeni Günəşli q.,4 otaqlı110 m²3/9 mərtəbə
216 000AZN,Elmlər Akademiyası m.,2 otaqlı73.2 m²8/12 mərtəbə
209 000AZN,8-ci mikrorayon q.,3 otaqlı85 m²8/9 mərtəbə
315 000AZN,Nəsimi r.,3 otaqlı98 m²16/17 mərtəbə
203 000AZN,20 Yanvar m.,3 otaqlı88 m²15/20 mərtəbə
168 000AZN,Azadlıq Prospekti m.,2 otaqlı65 m²3/9 mərtəbə
469 000AZN,İçəri Şəhər m.,3 otaqlı105 m²11/11 mərtəbə
159 000AZN,Əhmədli m.,2 otaqlı75 m²11/17 mərtəbə
875 000AZN,Nərimanov r.,7 otaqlı520 m²17/18 mərtəbə
98 000AZN,Əhmədli m.,3 otaqlı78 m²18/18 mərtəbə
140 000AZN,Badamdar q.,2 otaqlı76 m²3/5 mərtəbə
380 000AZN,Xətai r.,2 otaqlı90 m²11/16 mərtəbə
85 000AZN,Həzi Aslanov m.,2 otaqlı45 m²1/9 mərtəbə
295 000AZN,8 Noyabr m.,3 otaqlı141 m²6/14 mərtəbə
299 000AZN,Yasamal r.,3 otaqlı100 m²10/16 mərtəbə
370 000AZN,Gənclik m.,3 otaqlı180 m²6/16 mərtəbə
683 668AZN,Ağ şəhər q.,3 otaqlı108.4 m²5/8 mərtəbə
335 000AZN,Nəsimi r.,3 otaqlı118.2 m²14/17 mərtəbə
76 500AZN,Masazır q.,2 otaqlı65 m²5/6 mərtəbə
270 000AZN,Ağ şəhər q.,2 otaqlı56 m²2/7 mərtəbə
320 000AZN,Şah İsmayıl Xətai m.,2 otaqlı80 m²12/18 mərtəbə
263 000AZN,Elmlər Akademiyası m.,2 otaqlı96 m²5/17 mərtəbə
200 000AZN,28 May m.,1 otaqlı56.6 m²15/16 mərtəbə
515 000AZN,Şah İsmayıl Xətai m.,3 otaqlı157 m²14/20 mərtəbə
364 999AZN,Nəriman Nərimanov m.,4 otaqlı153 m²8/18 mərtəbə
205 000AZN,Nəriman Nərimanov m.,2 otaqlı55 m²11/16 mərtəbə
120 000AZN,Yasamal r.,1 otaqlı40 m²8/12 mərtəbə
220 000AZN,20 Yanvar m.,3 otaqlı92 m²16/16 mərtəbə
92 000AZN,Xalqlar Dostluğu m.,1 otaqlı40 m²5/5 mərtəbə
205 000AZN,Qara Qarayev m.,3 otaqlı80 m²4/5 mərtəbə
107 000AZN,Elmlər Akademiyası m.,1 otaqlı35 m²4/5 mərtəbə
144 000AZN,Xətai r.,2 otaqlı60 m²12/13 mərtəbə
280AZN,Hövsan q.,2 otaqlı54 m²7/7 mərtəbə
125 000AZN,Həzi Aslanov m.,2 otaqlı55 m²9/9 mərtəbə
87 000AZN,Abşeron r.,3 otaqlı70 m²4/8 mərtəbə
305 000AZN,Nəsimi r.,3 otaqlı132 m²3/16 mərtəbə
350 000AZN,Gənclik m.,3 otaqlı138 m²14/17 mərtəbə
345 000AZN,Nəsimi r.,3 otaqlı100 m²12/15 mərtəbə
220 000AZN,20 Yanvar m.,3 otaqlı75 m²8/20 mərtəbə
157 000AZN,Elmlər Akademiyası m.,3 otaqlı50 m²3/5 mərtəbə
325 000AZN,İnşaatçılar m.,3 otaqlı155 m²3/17 mərtəbə
189 000AZN,Nəsimi r.,2 otaqlı75 m²6/10 mərtəbə
390 000AZN,Nəriman Nərimanov m.,4 otaqlı185 m²5/21 mərtəbə
84 000AZN,Masazır q.,3 otaqlı73 m²3/5 mərtəbə
486 000AZN,Nəriman Nərimanov m.,3 otaqlı143 m²8/16 mərtəbə
205 000AZN,Bakıxanov q.,2 otaqlı76 m²3/12 mərtəbə
339 000AZN,8 Noyabr m.,3 otaqlı160 m²15/21 mərtəbə
364 000AZN,Nizami m.,2 otaqlı104 m²2/15 mərtəbə
172 000AZN,Qara Qarayev m.,4 otaqlı100 m²1/5 mərtəbə
125 000AZN,Həzi Aslanov m.,2 otaqlı60 m²1/5 mərtəbə
345 000AZN,Nizami m.,3 otaqlı141 m²16/17 mərtəbə
155 000AZN,9-cu mikrorayon q.,3 otaqlı70 m²3/9 mərtəbə
274 000AZN,Nərimanov r.,2 otaqlı84 m²8/14 mərtəbə
215 000AZN,Azadlıq Prospekti m.,4 otaqlı115 m²5/9 mərtəbə
249 000AZN,Nərimanov r.,3 otaqlı85 m²12/14 mərtəbə
285 000AZN,Nəriman Nərimanov m.,3 otaqlı90 m²15/18 mərtəbə
342 000AZN,28 May m.,3 otaqlı105 m²4/16 mərtəbə
66 000AZN,Masazır q.,2 otaqlı40 m²7/10 mərtəbə
136 000AZN,Azadlıq Prospekti m.,2 otaqlı43 m²3/16 mərtəbə
195 000AZN,Lökbatan q.,3 otaqlı145 m²5/15 mərtəbə
398 000AZN,Şah İsmayıl Xətai m.,4 otaqlı217 m²19/20 mərtəbə
179 000AZN,20 Yanvar m.,2 otaqlı70 m²4/16 mərtəbə
550 000AZN,Elmlər Akademiyası m.,4 otaqlı170 m²4/18 mərtəbə
235 000AZN,Elmlər Akademiyası m.,2 otaqlı68 m²12/23 mərtəbə
233 000AZN,Əhmədli m.,5 otaqlı120 m²8/9 mərtəbə
